new_id,fid,score
58,1,3.0
68,1,1.0
70,1,3.0
164,1,3.0
742,1,5.0
1084,1,6.0
1354,1,1.0
1494,1,3.0
1603,1,3.0
1678,1,4.0
1845,1,5.0
176,2,4.0
383,2,4.0
998,2,1.0
1339,2,4.0
1361,2,5.0
1567,2,4.0
1591,2,2.0
1669,2,5.0
1754,2,3.0
1818,2,3.0
1862,2,4.0
68,3,1.0
729,3,1.0
742,3,1.0
1339,3,1.0
1754,3,1.0
1804,3,1.0
1872,3,1.0
68,4,1.0
742,4,3.0
809,4,3.0
1757,4,1.0
1818,4,3.0
202,5,1.0
742,5,5.0
1339,5,5.0
1668,5,3.0
1603,6,1.0
1757,6,1.0
1188,7,1.0
1339,7,1.0
1361,7,2.0
1669,7,5.0
1754,7,1.0
1818,7,1.0
1840,7,3.0
58,8,1.0
1085,8,5.0
1212,8,6.0
1494,8,3.0
1603,8,1.0
1605,8,4.0
1678,8,3.0
1696,8,6.0
1818,8,4.0
742,9,2.0
809,9,1.0
1347,9,3.0
1487,9,2.0
58,10,2.0
1603,10,1.0
1797,10,5.0
1925,10,5.0
686,11,1.0
742,11,5.0
1085,11,3.0
1212,11,2.0
1932,11,5.0
1947,11,6.0
1212,12,1.0
1668,12,1.0
1720,12,2.0
1829,12,1.0
742,13,1.0
58,14,1.0
742,14,5.0
1589,14,2.0
1947,14,4.0
742,15,1.0
1932,15,1.0
1947,15,3.0
742,16,3.0
1085,16,1.0
1494,16,4.0
1636,16,1.0
1842,16,1.0
1932,17,1.0
742,18,2.0
1339,18,1.0
1841,18,5.0
1932,18,2.0
1818,19,1.0
1821,19,4.0
742,20,3.0
1085,20,5.0
1123,20,1.0
1212,20,1.0
1233,20,4.0
1269,20,2.0
1339,20,2.0
1364,20,1.0
1729,20,2.0
1790,20,3.0
1797,20,5.0
1840,20,1.0
1921,20,1.0
1922,20,2.0
1944,20,3.0
742,21,2.0
1233,21,5.0
1339,21,2.0
1549,21,3.0
1669,21,3.0
1840,21,1.0
202,22,1.0
742,22,1.0
1754,22,2.0
